UniProt_IDs,DrLLPS_labels,UDSM-LLPS (Random) Score,UDSM-LLPS (UniRef) Score,PSPredictor Score
P00519,scaffold,0.6918485,0.31357518,0.8987
Q9UKV8,scaffold,0.6388231,0.8913469,0.3307
P05067,scaffold,0.018898845,0.10150209,0.1598
Q99700,scaffold,0.989746,0.99209917,0.9936
Q8WWM7,scaffold,0.90358233,0.9670003,0.9965
O60885,scaffold,0.9696162,0.9362115,0.9983
Q96LT7,scaffold,0.93150795,0.9888904,0.004
P83916,scaffold,0.99293995,0.9422749,0.6728
Q14781,scaffold,0.8672496,0.8780864,0.9932
P45973,scaffold,0.9710477,0.9944395,0.9635
O60563,scaffold,0.9945686,0.96364224,0.9937
Q14011,scaffold,0.99884367,0.99966204,0.9944
P38432,scaffold,0.9769254,0.9672851,0.9969
Q7Z5Q1,scaffold,0.9460526,0.6881617,0.9951
P33240,scaffold,0.97871757,0.98797476,0.9756
Q9H0L4,scaffold,0.9984724,0.99404,0.9903
Q14247,scaffold,0.9928975,0.8996324,0.2095
Q9UER7,scaffold,0.3208649,0.9201216,0.9681
Q96EP5,scaffold,0.99975663,0.9982797,0.9707
Q8IZD4,scaffold,0.8577836,0.6834564,0.9902
Q8IU60,scaffold,0.7892627,0.8147936,0.2767
O00571,scaffold,0.98836553,0.871113,0.9661
Q9NQI0,scaffold,0.85523236,0.98395556,0.7765
P26196,scaffold,0.986132,0.995321,0.3039
P78352,scaffold,0.9904128,0.9964083,0.1591
O14490,scaffold,0.9887784,0.9988318,0.936
Q13627,scaffold,0.9589912,0.46776125,0.9869
Q96F86,scaffold,0.27431482,0.490858,0.3771
O43432,scaffold,0.9315739,0.35420352,0.9357
Q15717,scaffold,0.9999944,0.99987173,0.0132
P15502,scaffold,0.014966068,0.0020585565,0.9968
Q01844,scaffold,0.9999511,0.99929476,0.9993
P22087,scaffold,0.99949336,0.99997175,0.9188
Q06787,scaffold,0.98622406,0.9683525,0.9571
P35637,scaffold,0.9995004,0.9995778,0.9987
P06241,scaffold,0.9992138,0.9745792,0.0157
Q13283,scaffold,0.9997074,0.9994066,0.4903
Q9NY12,scaffold,0.99973017,0.99996006,0.998
Q13823,scaffold,0.96316725,0.91477185,0.4871
P62993,scaffold,0.9999709,0.99952936,0.0713
P15170,scaffold,0.89998066,0.4886322,0.7907
Q13151,scaffold,0.99914074,0.9999522,0.9959
P09651,scaffold,0.99995923,0.9999901,0.9977
Q32P51,scaffold,0.9999776,0.99993956,0.9958
P22626,scaffold,0.9998386,0.9999721,0.9977
P51991,scaffold,0.9999105,0.9996408,0.9966
Q14103,scaffold,0.9997774,0.9934742,0.9949
O14979,scaffold,0.9997569,0.9985538,0.9932
P31943,scaffold,0.9874801,0.99986017,0.9829
P55795,scaffold,0.9809771,0.97530705,0.9661
P31942,scaffold,0.9840115,0.99886286,0.9924
Q9NSC5,scaffold,0.866401,0.25216344,0.0382
Q15811,scaffold,0.9932854,0.96219,0.7763
P52292,scaffold,0.008434633,0.143852,0.5364
Q14974,scaffold,0.2211545,0.102140695,0.0584
O43561,scaffold,0.0068252673,0.11245705,0.9059
P17931,scaffold,0.999944,0.99997985,0.758
Q9Y4Z0,scaffold,0.79246163,0.8285743,0.3595
P61626,scaffold,0.032671597,0.045374613,0.0241
Q9GZQ8,scaffold,0.8878446,0.9429304,0.003
P10636,scaffold,0.9925885,0.98033834,0.987
P16333,scaffold,0.9999578,0.9990114,0.2133
O60500,scaffold,0.0014175815,0.020813921,0.3309
P06748,scaffold,0.5323891,0.7782854,0.9884
P49790,scaffold,0.77960366,0.999014,0.9822
P52948,scaffold,0.99331,0.99887973,0.8747
P11940,scaffold,0.98782104,0.9808929,0.1792
O75928,scaffold,0.98702335,0.99292725,0.8711
P14618,scaffold,0.3385118,0.01657282,0.0047
P29590,scaffold,0.97352266,0.9873285,0.9151
P24928,scaffold,0.8217291,0.8467098,0.6411
Q8WXF1,scaffold,0.99656725,0.9887744,0.6469
P26599,scaffold,0.6081616,0.85553306,0.965
P10276,scaffold,0.88018405,0.60219175,0.8097
Q9NWB1,scaffold,0.9469171,0.93641555,0.967
Q96PK6,scaffold,0.95335925,0.9660465,0.9903
P98179,scaffold,0.9999963,0.9999987,0.9542
P62750,scaffold,0.004276188,0.12498404,0.0674
P46777,scaffold,0.9609527,0.4503416,0.0371
Q5FBB7,scaffold,0.06789111,0.052485004,0.5125
Q16637,scaffold,0.99032634,0.9999932,0.264
Q07889,scaffold,0.6779282,0.7015733,0.2848
O43791,scaffold,0.9917495,0.99534935,0.0085
Q13501,scaffold,0.961593,0.98207724,0.3061
